matchup,Ateam,Bteam
1437_1291,1437,1291
1458_1439,1458,1439
1438_1422,1438,1422
1196_1190,1196,1190
1374_1425,1374,1425
1124_1308,1124,1308
1376_1266,1376,1266
1181_1407,1181,1407
1211_1377,1211,1377
1321_1435,1321,1435
1323_1343,1323,1343
1452_1137,1452,1137
1268_1462,1268,1462
1199_1195,1199,1195
1388_1433,1388,1433
1112_1315,1112,1315
1242_1413,1242,1413
1274_1277,1274,1277
1235_1305,1235,1305
1245_1436,1245,1436
1166_1348,1166,1348
1332_1233,1332,1233
1276_1329,1276,1329
1256_1238,1256,1238
1314_1411,1314,1411
1116_1371,1116,1371
1271_1398,1271,1398
1139_1457,1139,1457
1153_1243,1153,1243
1417_1245,1417,1245
1173_1455,1173,1455
1246_1297,1246,1297
